Gas,"NFR/CRF Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Burning oil",kilotonne,-,-,-,-,-,-,-,0.250993417624375,0.250993417624375,0.250993417624375,0.250993417624375,0.28427873042162,0.263639900252393,0.251857552105054,0.260219218532196,13.919663782,15.905079072,6.14700399999999,4.04351057,3.18154945727271,2.2937018,2.37260095,2.04930771000001,1.425747584,1.45063695438,1.632575886,3.97663192239999,1.8153396466,2.21838573450841,2.09190492228203,2.68199781020328,2.40013099518094,2.32194242017727
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Petroleum coke",kilotonne,-,-,-,-,-,-,-,21.1498395224759,-,-,-,-,-,-,-,78.7510044651485,105.288187200651,156.35552918932,263.643171370959,432.271977335525,184.493387217296,41.7835252712593,95.9512713314233,44.932026594604,-,29.561232,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Fuel oil",kilotonne,1821.567,1999.872,2045.725,2113.195,2185.855,2058.7,2031.4525,2041.8832,1951.04,1528.626,1074.01875,1473.12375,1793.14928,1777.63686,1476.67605,1378.5283433742,871.135639401634,893.891454640045,623.43564763494,523.420880012903,457.207547149073,417.456928925612,306.72861745973,300.667186167777,122.633064759089,241.68081168551,203.412806726478,179.804269668811,174.94752808807,107.761657771004,76.7329441939682,97.6748532146583,154.088995524123
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Gas oil",kilotonne,59.092,57.3540000000001,57.3540000000001,61.6990000000001,73.8650000000001,87.7690000000001,100.804,133.371,140.94,100.05,147.4563,42.0906000000001,42.8736000000001,173.5389,167.2488,178.8372,37.845,-,-,-,-,0.426300000000001,0.0348000000000001,-,-,-,0.00870000000000002,0.00870000000000002,0.00870000000000002,0.00870000000000002,-,0.0174,0.0870000000000002
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",LPG,kilotonne,13.902921094072,13.7276742644961,13.0266866424792,10.4563986950842,4.84849771894968,7.18512312567241,8.04225651421049,8.84648212398452,30.3837445240953,30.3786275664993,30.3439757498024,34.0795059605493,7.82119898534354,15.3065120014771,15.6288482801045,34.0398993474641,33.6539343441088,33.7723878267121,3.80732304286618,3.75469962531164,4.38648844181597,10.1493671025811,8.01531894548884,5.3407292396041,8.58519950571873,7.08659069434461,6.60015231046934,7.40715846202758,8.75642233572775,5.93973434694885,3.37011519485726,9.25622130840997,19.461349907798
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Refinery miscellaneous",kilotonne,16.8,34.4,36.8,46.4,46.4,25.6,43.2,-,-,-,12.176,25.8240000000001,8.59199999999999,-,-,-,-,-,-,-,-,-,-,46.504,-,44.5360000000001,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",Naphtha,kilotonne,93.9332199639665,97.3492199639662,96.4952199639662,93.0792199639664,85.3932199639666,71.7292199639667,71.7292199639667,86.2472199639668,86.2472199639668,89.6632199639666,87.5367599639668,101.294699963967,89.0824999639667,82.9251599639666,78.1171399639666,74.4790999639665,71.7292199639666,71.7292199639667,65.9458800000001,9.08656,133.07028,78.81566,156.70046,87.8851400000002,144.55658,104.39296,40.5223,66.07398,50.2152,24.2536,-,0.83692,12.02432
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Natural gas",kilotonne,13.4517275543593,13.8246200058936,96.313895653428,121.818321081968,96.3364581540994,122.728884404594,148.939259355068,156.697097352471,188.846804784504,210.013287505007,284.366931854752,371.539347185452,410.244557316591,399.757787959316,366.46909792832,559.978415409108,578.996733339245,596.046435680538,427.139636434591,418.715731541927,512.471156305985,621.416627853366,597.666266176783,624.157371198,701.73809060715,631.836392395827,630.869354089046,590.929986094351,609.01807175237,582.925147114366,603.121479775952,601.465998041681,573.31861466664
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",OPG,kilotonne,1936.66512102663,1887.79318819878,1866.57113803554,1990.17937732768,1924.98279052811,2059.50814216385,2176.32867476706,2052.63572087354,1947.52308607322,1889.4242365253,1934.27553942199,1750.85167995464,1866.87167839007,1688.39202835146,1954.20947291851,1925.9978827484,1978.3284034017,1911.13979490423,2306.7229585079,2218.62346790635,2249.1252848935,2191.41013589738,1736.85323876011,1778.01043095917,1639.93881531259,1558.16092584341,1697.03279874674,1742.81754100026,1685.39580363656,1630.68605407769,1504.81666506158,1363.50270135252,1593.28582968598
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Petroleum coke",kilotonne,907.679999999999,969.989999999999,973.709999999999,995.099999999999,881.639999999999,1066.71,1038.81,1100.19,1107.63,1083.45,1147.5642,866.174100000001,1024.9716,946.581900000001,940.741499999999,1272.59807607524,1338.48226148773,1350.17355531818,1281.6723611833,1263.26289507642,1275.46168560787,1419.2916,1493.208,1159.90269396,1060.0884,1094.52991219636,1129.11293536909,1111.2132936,1030.35507216,1092.4989,841.994099999999,950.487899999999,905.699099999999
